Artist,Artist_popularity,Artist_follower,Artist_id
Ava Max,87,1025358,4npEfmQ6YuiwW1GpUmaq3F
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Tones and I,92,484241,2NjfBq1NflQcKSeiDooVjY
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Daddy Yankee,95,15857952,4VMYDCV2IEDYJArk749S6m
Lady Gaga,89,10181517,1HY2Jd0NmPuamShAr6KMms
Lewis Capaldi,92,2143489,4GNC7GD6oZMSxPGyXy4MNB
Marshmello,90,20341696,64KEffDW9EtZ1y2vBYgq8T
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Halsey,92,9063023,26VFTg2z8YR0cCuwLzESi2
Pedro Capó,83,827312,4QVBYiagIaa6ZGSPMbybpy
Sam Smith,92,11220622,2wY79sveU1sp5g7SokKOiI
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
J. Cole,91,10036739,6l3HvQ5sa6mXTsMTB19rO5
Panic! At The Disco,88,8777959,20JZFwl6HVl6yg8a4H3ZqK
Travis Scott,98,7626718,0Y5tJX1MQlPlqiwlOH1tJY
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
benny blanco,83,458671,5CiGnKThu5ctn9pBxv7DGa
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Lizzo,88,1838446,56oDRnqbIiwx4mymNEv7dS
Meek Mill,88,3826161,20sxb77xiYeusSH8cVdatc
Mabel,82,554723,1MIVXf74SZHmTIp4V4paH4
Juice WRLD,98,7403812,4MCBfE4596Uoi2O4DtmEMz
Ava Max,87,1025358,4npEfmQ6YuiwW1GpUmaq3F
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Sam Smith,92,11220622,2wY79sveU1sp5g7SokKOiI
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Y2K,81,134196,6USMTwO0MNDnKte5a5h0xx
Maroon 5,94,21668307,04gDigrS5kc9YWfZHwBETP
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
MEDUZA,85,152909,0xRXCcSX89eobfrshSVdyu
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Sech,95,2397904,77ziqFxp5gaInVrF2lj4ht
Alec Benjamin,84,1106781,5IH6FPUwQTxPSXurCrcIov
Jhay Cortez,84,508260,0EFisYRi20PTADoJrifHrz
Maroon 5,94,21668307,04gDigrS5kc9YWfZHwBETP
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
ROSALÍA,87,2299313,7ltDVBr6mKbRvohxheJ9h1
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Drake,99,43763483,3TVXtAsR1Inumwj472S9r4
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Lauv,91,2139634,5JZ7CnR6gTvEMKX4g70Amv
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
J Balvin,99,17106207,1vyhD5VmyZ7KMfW5gqLgo5
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
A Boogie Wit da Hoodie,91,3899600,31W5EY0aAly4Qieq6OFu6I
Imagine Dragons,92,24617484,53XhwfbYqKCa1cC15pYq2q
5 Seconds of Summer,87,5627772,5Rl15oVamLq7FbSb0NNBNy
Jonas Brothers,87,3492262,7gOdHgIoIKoe4i9Tta6qdD
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Travis Scott,98,7626718,0Y5tJX1MQlPlqiwlOH1tJY
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Ozuna,98,21123358,1i8SpTcr7yvPOmcqrbnVXY
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Anne-Marie,86,5194708,1zNqDE7qDGCsyzJwohVaoX
Lauv,91,2139634,5JZ7CnR6gTvEMKX4g70Amv
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Nicky Jam,94,10569805,1SupJlEpv7RS2tPNRaHViT
Jonas Brothers,87,3492262,7gOdHgIoIKoe4i9Tta6qdD
Maluma,92,18201306,1r4hJ1h58CWwUQe3MxPuau
James Arthur,87,5297706,4IWBUUAFIplrNtaOHcJPRM
Chris Brown,93,10352577,7bXgB6jMjp9ATFy66eO08Z
blackbear,90,2708485,2cFrymmkijnjDg9SS92EPM
Calvin Harris,90,19331795,7CajNmpbOovFoOoasH2HaY
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Marshmello,90,20341696,64KEffDW9EtZ1y2vBYgq8T
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Lil Baby,93,3258508,5f7VJjfbwm532GiveGC0ZK
DaBaby,95,1799463,4r63FhuTkUYltbVAg5TQnk
Dynoro,78,167708,3v6Ji4uoWtKRkhuDUaxi9n
DJ Luian,82,522058,64aJYyrXljOodnUG6jvhRD
BTS,93,15652748,3Nrfpe0tUJi4K4DXYWgMUX
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Imagine Dragons,92,24617484,53XhwfbYqKCa1cC15pYq2q
YNW Melly,90,2433412,1cNDP5yjU5vjeR8qMf4grg
Katy Perry,89,14486730,6jJ0s89eD6GaHleKKya26X
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Drake,99,43763483,3TVXtAsR1Inumwj472S9r4
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Selena Gomez,93,18882676,0C8ZW7ezQVs4URX5aX7Kqx
A Boogie Wit da Hoodie,91,3899600,31W5EY0aAly4Qieq6OFu6I
Kygo,89,5922832,23fqKkggKUBHNkbKtXEls4
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
J Balvin,99,17106207,1vyhD5VmyZ7KMfW5gqLgo5
Dominic Fike,78,227111,6USv9qhCn6zfxlBQIYJ9qs
Ellie Goulding,87,7390843,0X2BH1fck6amBIoJhDVmmJ
Kodak Black,87,5428094,46SHBwWsqBkxI7EeeBEQG7
Cardi B,92,10412486,4kYSro6naA4h99UJvo89HB
Ali Gatie,82,464535,4rTv3Ejc7hKMtmoBOK1B4T
Sam Smith,92,11220622,2wY79sveU1sp5g7SokKOiI
Sech,95,2397904,77ziqFxp5gaInVrF2lj4ht
Regard,83,34267,4ofCBoyEiGSePFAG500xev
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Dua Lipa,93,14982761,6M2wZ9GZgrQXHCFfjv46we
The Black Eyed Peas,88,3959999,1yxSLGMDHlW21z4YXirZDS
Piso 21,84,4845869,4bw2Am3p9ji3mYsXNXtQcd
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Tainy,86,46061,0GM7qgcRCORpGnfcN2tCiB
21 Savage,90,7271390,1URnnhqYAYcrqrcwql10ft
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
Calvin Harris,90,19331795,7CajNmpbOovFoOoasH2HaY
Arizona Zervas,89,188185,0vRvGUQVUjytro0xpb26bs
OneRepublic,86,9208531,5Pwc4xIPtQLFEnJriah9YJ
ROSALÍA,87,2299313,7ltDVBr6mKbRvohxheJ9h1
Camila Cabello,96,14245838,4nDoRrQiYLoBzwC5BhVJzF
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
Dalex,93,875341,0KPX4Ucy9dk82uj4GpKesn
Camilo,86,536863,28gNT5KBp7IjEOQoevXf9N
Loud Luxury,78,240504,6t1gpxYbY8OlLA7D2RiikQ
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Imagine Dragons,92,24617484,53XhwfbYqKCa1cC15pYq2q
Dan + Shay,85,1377921,7z5WFjZAIYejWy0NI5lv4T
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Mustard,86,540694,0YinUQ50QDB7ZxSCLyQ40k
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Dean Lewis,83,926350,3QSQFmccmX81fWCUSPTS7y
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Sheck Wes,78,748033,2RDOrhPqAM4jzTRCEb19qX
Jonas Brothers,87,3492262,7gOdHgIoIKoe4i9Tta6qdD
Marshmello,90,20341696,64KEffDW9EtZ1y2vBYgq8T
Calvin Harris,90,19331795,7CajNmpbOovFoOoasH2HaY
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Lil Tecca,88,1508291,4Ga1P7PMIsmqEZqhYZQgDo
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Mau y Ricky,83,1531985,2wkoKEfS6dXwThbyTnZWFU
"Tyler, The Creator",87,3689916,4V8LLVI7PbaPR0K2TGSxFF
Juice WRLD,98,7403812,4MCBfE4596Uoi2O4DtmEMz
Zedd,86,4997291,2qxJFvFYMEDqd7ui6kSAcq
Avicii,89,16559762,1vCWHaC5f2uS3yhpwWbIA6
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Lady Gaga,89,10181517,1HY2Jd0NmPuamShAr6KMms
BLACKPINK,83,10276873,41MozSoPIsD1dJM0CLPjZF
Juice WRLD,98,7403812,4MCBfE4596Uoi2O4DtmEMz
Mark Ronson,83,749288,3hv9jJF3adDNsBSIQDqcjp
Camila Cabello,96,14245838,4nDoRrQiYLoBzwC5BhVJzF
Oasis,82,4804624,2DaxqgrOhkeH0fpeiQq2f4
Young Thug,94,4744074,50co4Is1HCEo8bhOyUWKpn
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
Lewis Capaldi,92,2143489,4GNC7GD6oZMSxPGyXy4MNB
Avicii,89,16559762,1vCWHaC5f2uS3yhpwWbIA6
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Alan Walker,89,17470399,7vk5e3vY1uw9plTHJAMwjN
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Tyga,92,5328383,5LHRHt1k9lMyONurDHEdrp
Gucci Mane,87,3031961,13y7CgLHjMVRMDqxdx0Xdo
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
Polo G,82,726169,6AgTAQt8XS6jRWi4sX7w49
Mariah Carey,89,5197826,4iHNK0tOyZPYnBU7nGAgpQ
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Justin Quiles,95,2397904,77ziqFxp5gaInVrF2lj4ht
Young Thug,94,4744074,50co4Is1HCEo8bhOyUWKpn
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
Maluma,92,18201306,1r4hJ1h58CWwUQe3MxPuau
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Lauv,91,2139634,5JZ7CnR6gTvEMKX4g70Amv
Ellie Goulding,87,7390843,0X2BH1fck6amBIoJhDVmmJ
Halsey,92,9063023,26VFTg2z8YR0cCuwLzESi2
KAROL G,92,7947851,790FomKkXshlbRYZFtlgla
Blueface,81,1765266,3Fl1V19tmjt57oBdxXKAjJ
Daddy Yankee,95,15857952,4VMYDCV2IEDYJArk749S6m
Dua Lipa,93,14982761,6M2wZ9GZgrQXHCFfjv46we
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Lil Tecca,88,1508291,4Ga1P7PMIsmqEZqhYZQgDo
Rauw Alejandro,89,472527,1mcTU81TzQhprhouKaTkpq
Maluma,92,18201306,1r4hJ1h58CWwUQe3MxPuau
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Drake,99,43763483,3TVXtAsR1Inumwj472S9r4
Cardi B,92,10412486,4kYSro6naA4h99UJvo89HB
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
YG,86,2020926,0A0FS04o6zMoto8OKPsDwY
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
Bazzi,86,2722028,4GvEc3ANtPPjt1ZJllr5Zl
Travis Scott,98,7626718,0Y5tJX1MQlPlqiwlOH1tJY
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
John Legend,85,4804945,5y2Xq6xcjJb2jVM54GHK3t
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Imagine Dragons,92,24617484,53XhwfbYqKCa1cC15pYq2q
Dalex,93,875341,0KPX4Ucy9dk82uj4GpKesn
Martin Garrix,88,12498138,60d24wfXkVzDSfLS6hyCjZ
Bazzi,86,2722028,4GvEc3ANtPPjt1ZJllr5Zl
benny blanco,83,458671,5CiGnKThu5ctn9pBxv7DGa
Lukas Graham,79,1599559,25u4wHJWxCA9vO0CzxAbK7
Myke Towers,91,888971,7iK8PXO48WeuP03g8YR51W
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
Lil Uzi Vert,92,7585654,4O15NlyKLIASxsJ0PrXPfz
Trevor Daniel,87,134258,7uaIm6Pw7xplS8Dy06V6pT
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
David Guetta,90,20802505,1Cs0zKBU1kc0i8ypK3B9ai
Dua Lipa,93,14982761,6M2wZ9GZgrQXHCFfjv46we
DaBaby,95,1799463,4r63FhuTkUYltbVAg5TQnk
Dalex,93,875341,0KPX4Ucy9dk82uj4GpKesn
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
SHAED,81,84410,3KwmxIhSe9UTSEF37kwngR
Kina,81,256939,4qIVPF0s71ZYW3qzhu5GkF
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Lewis Capaldi,92,2143489,4GNC7GD6oZMSxPGyXy4MNB
Dean Lewis,83,926350,3QSQFmccmX81fWCUSPTS7y
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
Flipp Dinero,76,491934,2HUwZ0kumzCSlhFcjFZfpp
Sean Paul,85,2856914,3Isy6kedDrgPYoTS1dazA9
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Wham!,82,1063999,5lpH0xAS4fVfLkACg9DAuM
Reik,87,3457296,0vR2qb8m9WHeZ5ByCbimq2
Normani,83,687630,2cWZOOzeOm4WmBJRnD5R7I
Lil Tecca,88,1508291,4Ga1P7PMIsmqEZqhYZQgDo
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Kygo,89,5922832,23fqKkggKUBHNkbKtXEls4
YNW Melly,90,2433412,1cNDP5yjU5vjeR8qMf4grg
Harry Styles,95,5911371,6KImCVD70vtIoJWnq6nGn3
TOTO,78,1316258,0PFtn5NtBbbUNbU9EAmIWF
Sam Feldt,82,457804,20gsENnposVs2I4rQ5kvrf
YNW Melly,90,2433412,1cNDP5yjU5vjeR8qMf4grg
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Bazzi,86,2722028,4GvEc3ANtPPjt1ZJllr5Zl
J Balvin,99,17106207,1vyhD5VmyZ7KMfW5gqLgo5
Martin Garrix,88,12498138,60d24wfXkVzDSfLS6hyCjZ
Sech,95,2397904,77ziqFxp5gaInVrF2lj4ht
Marshmello,90,20341696,64KEffDW9EtZ1y2vBYgq8T
5 Seconds of Summer,87,5627772,5Rl15oVamLq7FbSb0NNBNy
Jeremy Zucker,83,603958,3gIRvgZssIb9aiirIg0nI3
5 Seconds of Summer,87,5627772,5Rl15oVamLq7FbSb0NNBNy
R3HAB,85,1938755,6cEuCEZu7PAE9ZSzLLc2oQ
Manuel Turizo,88,4961323,0tmwSHipWxN12fsoLcFU3B
The Weeknd,96,18323290,1Xyo4u8uXC1ZmMpatF05PJ
Wisin & Yandel,85,3244983,1wZtkThiXbVNtj6hee6dz9
MEDUZA,85,152909,0xRXCcSX89eobfrshSVdyu
Sebastian Yatra,89,10046817,07YUOmWljBTXwIseAUd9TW
Selena Gomez,93,18882676,0C8ZW7ezQVs4URX5aX7Kqx
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
Tiësto,85,4824537,2o5jDhtHVPhrJdv3cEQ99Z
Drake,99,43763483,3TVXtAsR1Inumwj472S9r4
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Daddy Yankee,95,15857952,4VMYDCV2IEDYJArk749S6m
Aaron Smith,74,181543,77qukKzmdI5BeMBR7WGUrN
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Lizzo,88,1838446,56oDRnqbIiwx4mymNEv7dS
Jason Mraz,81,4989594,4phGZZrJZRo4ElhRtViYdl
Blanco Brown,71,74640,3yzRiNMZdTsSUgplcyYZ4i
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
Cardi B,92,10412486,4kYSro6naA4h99UJvo89HB
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Ozuna,98,21123358,1i8SpTcr7yvPOmcqrbnVXY
Young Thug,94,4744074,50co4Is1HCEo8bhOyUWKpn
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Avicii,89,16559762,1vCWHaC5f2uS3yhpwWbIA6
NLE Choppa,86,764672,0ErzCpIMyLcjPiwT4elrtZ
Mau y Ricky,83,1531985,2wkoKEfS6dXwThbyTnZWFU
Myke Towers,91,888971,7iK8PXO48WeuP03g8YR51W
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
José Feliciano,77,162885,7K78lVZ8XzkjfRSI7570FF
Major Lazer,86,5890848,738wLrAtLtCtFOLvQBXOXp
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Bebe Rexha,87,4604422,64M6ah0SkkRsnPGtGiRAbb
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
The Weeknd,96,18323290,1Xyo4u8uXC1ZmMpatF05PJ
George Ezra,81,2876840,2ysnwxxNtSgbb9t1m2Ur4j
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
Rich Music LTD,84,28778,2kqUKsTuEj1lPbm6BSn1AU
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
Miley Cyrus,87,10744522,5YGY8feqx7naU7z4HrwZM6
Sebastian Yatra,89,10046817,07YUOmWljBTXwIseAUd9TW
Juice WRLD,98,7403812,4MCBfE4596Uoi2O4DtmEMz
Clean Bandit,82,3581961,6MDME20pz9RveH9rEXvrOM
Justin Quiles,92,1443108,14zUHaJZo1mnYtn6IBRaRP
Lizzo,88,1838446,56oDRnqbIiwx4mymNEv7dS
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Lil Uzi Vert,92,7585654,4O15NlyKLIASxsJ0PrXPfz
DaBaby,95,1799463,4r63FhuTkUYltbVAg5TQnk
Kanye West,94,10995470,5K4W6rqBFWDnAN6FQUkS6x
KAROL G,92,7947851,790FomKkXshlbRYZFtlgla
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Dua Lipa,93,14982761,6M2wZ9GZgrQXHCFfjv46we
Quality Control,80,500061,6i392l38cR3uBPF0DbNs7S
Rita Ora,84,5321422,5CCwRZC6euC8Odo6y9X8jr
Logic,87,4329265,4xRYI6VqpkE3UwrDrAZL8L
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Ozuna,98,21123358,1i8SpTcr7yvPOmcqrbnVXY
Zara Larsson,84,6527316,1Xylc3o4UrD53lo9CvFvVg
ZAYN,87,10364573,5ZsFI1h6hIdQRw2ti0hz81
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Miley Cyrus,87,10744522,5YGY8feqx7naU7z4HrwZM6
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
A Boogie Wit da Hoodie,91,3899600,31W5EY0aAly4Qieq6OFu6I
H.E.R.,83,2064213,3Y7RZ31TRPVadSFVy1o8os
Nicky Jam,94,10569805,1SupJlEpv7RS2tPNRaHViT
Nio Garcia,78,957461,5hdhHgpxyniooUiQVaPxQ0
Niall Horan,84,4574278,1Hsdzj7Dlq2I7tHP7501T4
Ellie Goulding,87,7390843,0X2BH1fck6amBIoJhDVmmJ
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Stormzy,88,1308575,2SrSdSvpminqmStGELCSNd
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Mustard,86,540694,0YinUQ50QDB7ZxSCLyQ40k
Robin Schulz,83,2303249,3t5xRXzsuZmMDkQzgOX35S
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Daddy Yankee,95,15857952,4VMYDCV2IEDYJArk749S6m
Jonas Blue,85,2540528,1HBjj22wzbscIZ9sEb5dyf
Jonas Blue,85,2540528,1HBjj22wzbscIZ9sEb5dyf
Michael Bublé,92,3547268,1GxkXlMwML1oSg5eLPiAz3
Calboy,74,330925,0HkcYmcjrBR3SCw9Ld5VZk
